Economic activity,Total,Formal employment,Informal employment,Kigali,Kigali male,Kigali female,Nyarugenge,Gasabo,Kicukiro,South province,South province male,South province female,Nyanza,Gisagara,Nyaruguru,Huye,Nyamagabe,Ruhango,Muhanga,Kamonyi,West province,West province male,West province female,Karongi,Rutsiro,Rubavu,Nyabihu,Ngororero,Rusizi,Nyamasheke,North province,North province male,North province female,Rulindo,Gakenke,Musanze,Burera,Gicumbi,East province,East province male,East province female,Rwamagana,Nyagatare,Gatsibo,Kayonza,Kirehe,Ngoma,Bugesera
Total,"3,546,352","324,740","3,221,612","  647,629 ","  371,669 ","  275,960 ","  155,687 ","  292,464 ","  199,478 ","811,479","461,963","349,516","90,187","93,130","84,801","112,779","107,077","113,408","108,598","101,499","650,043","359,115","290,928","102,608","92,073","119,900","94,554","82,937","96,035","61,936","599,887","315,269","284,618","92,054","120,170","156,766","94,997","135,900","837,313","469,687","367,625","123,759","136,485","145,820","131,666","102,948","104,590","92,044"
"Agriculture, forestry and fishing","1,660,185","7,591","1,652,595","  68,124 ","  31,155 ","  36,969 ","  9,022 ","  45,008 ","  14,094 ","412,613","210,664","201,949","52,867","64,322","58,368","22,236","75,571","57,733","45,626","35,891","346,774","158,678","188,096","56,889","59,160","44,967","59,040","50,724","42,563","33,430","333,595","139,668","193,927","55,408","71,917","68,893","65,400","71,977","499,079","247,845","251,234","58,987","93,672","101,665","85,108","72,817","55,372","31,458"
Mining and quarrying,"48,380","1,807","46,573","  4,868 ","  4,150 ","  718 ","  1,289 ","  3,195 ","  384 ","14,500","11,144","3,356",351,"2,708",223,0,0,"4,316","3,563","3,339","8,914","7,388","1,527",858,"1,344",617,"1,002","1,941","1,460","1,693","17,161","13,249","3,912","3,665","7,195","2,339",471,"3,490","2,938","2,569",369,911,0,304,0,610,155,958
Manufacturing,"187,297","11,583","175,714","  42,456 ","  19,494 ","  22,962 ","  11,324 ","  19,093 ","  12,039 ","45,581","22,708","22,873","3,927","2,175","3,505","9,318","4,201","5,222","8,850","8,384","40,504","23,132","17,372","6,092","5,447","5,806","7,673","5,066","7,485","2,935","24,349","12,255","12,094","2,359","2,401","7,838","3,743","8,008","34,406","20,964","13,442","4,859","6,274","2,419","6,160","4,204","6,351","4,138"
"Water supply, sewerage and waste management","5,974","2,854","3,120","  1,470 ","  965 ","  505 ","  206 ","  860 ","  405 ","1,989","1,989",0,0,0,0,"1,106",0,618,264,0,920,920,0,453,0,0,135,0,0,333,654,368,286,0,222,432,0,0,940,940,0,0,232,0,0,0,708,0
Construction,"366,450","3,960","362,490","  92,160 ","  81,899 ","  10,262 ","  20,983 ","  43,281 ","  27,896 ","75,843","64,315","11,528","6,606","7,292","6,336","13,972","5,833","9,387","15,568","10,848","70,449","60,990","9,459","13,716","10,047","14,680","7,219","9,644","7,211","7,932","57,005","48,677","8,329","8,369","9,225","19,088","9,335","10,988","70,992","61,627","9,365","10,895","10,454","9,677","9,046","6,682","9,523","14,715"
"Wholesale, retail trade, repair of motor vehicles, motorcylces","372,408","18,300","354,108","  128,367 ","  55,920 ","  72,448 ","  42,573 ","  49,823 ","  35,971 ","64,190","30,826","33,364","7,340","4,290","6,799","12,422","6,943","7,395","7,950","11,051","60,486","21,899","38,587","4,849","3,627","19,108","6,396","7,568","13,767","5,172","49,987","22,207","27,781","6,882","8,804","20,374","4,994","8,933","69,377","29,870","39,507","12,351","7,531","10,550","5,551","5,771","13,587","14,037"
Transportation and storage,"197,886","7,213","190,673","  48,777 ","  46,163 ","  2,614 ","  10,870 ","  21,460 ","  16,446 ","48,516","46,057","2,460","4,007","2,932","2,712","3,922","7,045","14,200","4,712","8,987","40,808","39,106","1,702","6,518","5,994","11,587","3,539","2,528","6,366","4,277","24,746","24,361",386,"4,859","3,562","6,222","1,483","8,620","35,038","34,298",740,"9,104","4,259","5,286","4,366","2,802","3,530","5,692"
Accommodation and food service activities,"73,519","10,113","63,406","  27,415 ","  15,727 ","  11,688 ","  7,451 ","  11,899 ","  8,064 ","14,471","8,109","6,363","1,387",680,618,"4,826","1,237","1,688",333,"3,704","10,459","7,821","2,638",678,977,"3,898","2,263",237,"1,766",640,"8,792","5,751","3,041",287,"1,037","3,036","1,050","3,381","12,382","6,412","5,970","1,779","1,065","1,956","3,077",296,"1,691","2,517"
Information and communication,"8,228","4,650","3,578","  6,266 ","  4,700 ","  1,566 ","  1,743 ","  1,352 ","  3,171 ",707,446,260,0,0,0,446,0,0,0,260,254,254,0,0,0,0,0,0,173,80,537,537,0,0,0,0,0,537,464,0,464,0,0,0,0,0,0,464
