Year,Indicator type,Indicators,Total
2019,LF summary,Labour underutilization,"  3,009,064 "
2021,LF summary,Labour underutilization,"  3,242,027 "
2022,LF summary,Labour underutilization,"  3,288,472 "
2019,LF summary,Time-related underemployed,"  877,637 "
2021,LF summary,Time-related underemployed,"  1,024,400 "
2022,LF summary,Time-related underemployed,"  1,125,425 "
2019,LF summary,Potential labour force,"  1,542,549 "
2021,LF summary,Potential labour force,"  1,338,698 "
2022,LF summary,Potential labour force,"  1,246,103 "
2019,LF summary,Unemployed,"  588,878 "
2021,LF summary,Unemployed,"  878,929 "
2022,LF summary,Unemployed,"  916,944 "
2019,LF summary,Labour force participation rate(%),53.4
2021,LF summary,Labour force participation rate(%),54.0
2022,LF summary,Labour force participation rate(%),56.0
2019,LF summary,LU1 - Unemployment rate(%),15.2
2021,LF summary,LU1 - Unemployment rate(%),21.1
2022,LF summary,LU1 - Unemployment rate(%),20.5
2019,LF summary,Unemployed upper secondary and university,"  134,372 "
2021,LF summary,Unemployed upper secondary and university,"  170,258 "
2022,LF summary,Unemployed upper secondary and university,"  202,691 "
2019,LF summary,Unemployment rate upper secondary and university,  22.81 
2021,LF summary,Unemployment rate upper secondary and university,19.37
2022,LF summary,Unemployment rate upper secondary and university,22.1
2019,LF summary,LU4 - Composite measure of labour underutilization(%),55.7
2021,LF summary,LU4 - Composite measure of labour underutilization(%),58.9
2022,LF summary,LU4 - Composite measure of labour underutilization(%),57.6
2019,LF summary,Time related underemployment rate(%),26.8
2021,LF summary,Time related underemployment rate(%),31.2
2022,LF summary,Time related underemployment rate(%),31.7
2022,Economic activity,"Agriculture, forestry and fishing","1,660,185"
2022,Economic activity,Mining and quarrying,"48,380"
2022,Economic activity,Manufacturing,"187,297"
2022,Economic activity,"Electricity, gas, steam and air conditioning supply","3,815"
2022,Economic activity,"Water supply, sewerage and waste management","5,974"
2022,Economic activity,Construction,"366,450"
2022,Economic activity,"Wholesale, retail trade, repair of motor vehicles, motorcylces","372,408"
2022,Economic activity,Transportation and storage,"197,886"
2022,Economic activity,Accommodation and food service activities,"73,519"
2022,Economic activity,Information and communication,"8,228"
2022,Economic activity,Financial and insurance activities,"27,029"
2022,Economic activity,Real estate activities,"3,654"
2022,Economic activity,"Professional, scientific and technical activities","26,217"
2022,Economic activity,Administrative and support service activities,"58,991"
2022,Economic activity,Public administration and defence,"60,590"
2022,Economic activity,Education,"143,995"
2022,Economic activity,Human health and social work activities,"48,447"
2022,Economic activity,"Arts, entertainment and recreation","7,521"
2022,Economic activity,Other service activities,"101,455"
2022,Economic activity,Activities of households as employers,"140,733"
2022,Economic activity,Activities of extraterritorial organizations and bodies,"3,577"
2021,Economic activity,"Agriculture, forestry and fishing","1,567,115"
2021,Economic activity,Mining and quarrying,"29,928"
2021,Economic activity,Manufacturing,"157,979"
2021,Economic activity,"Electricity, gas, steam and air conditioning supply","7,040"
2021,Economic activity,"Water supply, sewerage and waste management","5,692"
2021,Economic activity,Construction,"365,234"
2021,Economic activity,"Wholesale, retail trade, repair of motor vehicles, motorcylces","350,958"
2021,Economic activity,Transportation and storage,"156,808"
2021,Economic activity,Accommodation and food service activities,"54,396"
2021,Economic activity,Information and communication,"12,026"
2021,Economic activity,Financial and insurance activities,"34,407"
2021,Economic activity,Real estate activities,"2,718"
2021,Economic activity,"Professional, scientific and technical activities","17,569"
2021,Economic activity,Administrative and support service activities,"52,713"
2021,Economic activity,Public administration and defence,"67,489"
2021,Economic activity,Education,"124,340"
2021,Economic activity,Human health and social work activities,"48,685"
2021,Economic activity,"Arts, entertainment and recreation","6,179"
2021,Economic activity,Other service activities,"89,366"
2021,Economic activity,Activities of households as employers,"134,313"
2021,Economic activity,Activities of extraterritorial organizations and bodies,"2,741"
2019,Economic activity,"Agriculture, forestry and fishing","1,399,907"
2019,Economic activity,Mining and quarrying,"57,379"
2019,Economic activity,Manufacturing,"201,554"
2019,Economic activity,"Electricity, gas, steam and air conditioning supply","7,096"
2019,Economic activity,"Water supply, sewerage and waste management","7,047"
2019,Economic activity,Construction,"435,720"
2019,Economic activity,"Wholesale, retail trade, repair of motor vehicles, motorcylces","466,569"
2019,Economic activity,Transportation and storage,"146,259"
2019,Economic activity,Accommodation and food service activities,"91,495"
2019,Economic activity,Information and communication,"8,962"
2019,Economic activity,Financial and insurance activities,"35,728"
2019,Economic activity,Real estate activities,"4,098"
2019,Economic activity,"Professional, scientific and technical activities","21,249"
2019,Economic activity,Administrative and support service activities,"69,213"
2019,Economic activity,Public administration and defence,"65,349"
2019,Economic activity,Education,"107,624"
2019,Economic activity,Human health and social work activities,"55,984"
2019,Economic activity,"Arts, entertainment and recreation","9,715"
2019,Economic activity,Other service activities,"96,244"
2019,Economic activity,Activities of households as employers,"166,587"
2019,Economic activity,Activities of extraterritorial organizations and bodies,"7,079"
